Player,Pos,G,FG,3P,FT,TRB,AST,STL,BLK,TOV,PTS
Seth Curry\curryse01,SG,64,360,158,82,200,230,53,14,109,960
Stephen Curry\curryst01,PG,64,535,285,275,335,404,85,23,206,1630
Anthony Davis\davisan02,C,40,370,13,174,394,122,49,90,82,927
Ed Davis\davised01,C,31,11,0,6,64,7,3,9,5,28
Terence Davis\daviste02,SG,30,113,49,36,94,40,25,11,33,311
Gabriel Deck\deckga01,PF,7,8,2,0,6,5,1,0,2,18
Dewayne Dedmon\dedmode01,C,67,164,19,75,386,47,24,42,70,422
Sam Dekker\dekkesa01,PF,1,0,0,0,0,0,0,0,0,0
Javin DeLaurier\delauja01,C,1,0,0,0,1,0,1,0,0,0
DeMar DeRozan\derozde01,PF,76,774,50,520,392,374,68,24,181,2118
Mamadi Diakite\diakima01,PF,13,25,0,6,59,2,5,9,7,56
Cheick Diallo\diallch01,C,3,3,0,5,12,0,1,0,1,11
Hamidou Diallo\diallha01,SG,58,261,23,91,277,73,71,17,58,636
Gorgui Dieng\dienggo01,C,44,53,29,19,121,34,11,13,20,154
Spencer Dinwiddie\dinwisp01,PG,67,306,112,195,279,346,44,13,104,919
Donte DiVincenzo\divindo01,SG,42,118,74,70,170,118,48,8,72,380
Luka Don?i?\doncilu01,PG,65,641,201,364,593,568,75,36,292,1847
Luguentz Dort\dortlu01,SF,51,293,130,161,212,88,46,18,88,877
Ayo Dosunmu\dosunay01,SG,77,278,70,53,214,256,60,29,108,679
Damyean Dotson\dotsoda01,SG,2,2,0,0,2,1,0,0,0,4
Devon Dotson\dotsode01,PG,11,11,2,5,9,15,1,0,5,29
Sekou Doumbouya\doumbse01,PF,2,5,1,3,6,0,3,2,2,14
Jeff Dowtin\dowtije01,PG,9,8,1,2,18,10,5,1,5,19
PJ Dozier\doziepj01,SG,18,36,15,10,63,29,11,6,13,97
Goran Dragi?\dragigo01,PG,21,57,16,27,65,86,19,4,34,157
Andre Drummond\drumman01,C,73,247,0,86,680,131,78,68,115,580
Chris Duarte\duartch01,SG,55,268,94,90,226,114,56,10,90,720
David Duke Jr.\dukeda01,PG,22,39,9,17,67,17,14,7,9,104
Kris Dunn\dunnkr01,PG,14,44,1,17,49,79,23,3,32,106
Kevin Durant\duranke01,PF,55,578,115,372,407,351,48,52,191,1643
Jaime Echenique\echenja01,C,1,0,0,0,0,0,0,0,0,0
Anthony Edwards\edwaran01,SG,72,549,215,220,343,275,105,46,190,1533
Carsen Edwards\edwarca01,SG,4,9,4,1,6,14,2,0,5,23
Kessler Edwards\edwarke02,SF,48,110,48,16,172,31,29,24,42,284
Rob Edwards\edwarro01,SG,2,1,1,0,3,0,0,0,1,3
CJ Elleby\ellebcj01,SF,58,121,37,60,227,87,35,19,56,339
Wayne Ellington\ellinwa01,SG,43,98,82,9,77,30,23,5,19,287
Joel Embiid\embiijo01,C,68,666,93,654,796,284,77,99,214,2079
James Ennis III\ennisja01,SF,7,11,3,4,12,3,2,2,2,29
Drew Eubanks\eubandr01,C,71,221,5,99,382,85,31,40,81,546
Tacko Fall\fallta01,C,11,5,0,2,23,2,0,6,3,12
Derrick Favors\favorde01,C,39,94,2,16,184,25,17,12,9,206
Bruno Fernando\fernabr01,C,30,36,1,15,55,7,1,11,14,88
Dorian Finney-Smith\finnedo01,PF,80,326,172,56,375,150,88,39,80,880
Malik Fitts\fittsma01,PF,15,8,5,0,17,5,0,0,2,21
Malachi Flynn\flynnma01,PG,44,72,30,15,63,70,20,4,13,189
Bryn Forbes\forbebr01,SG,75,231,122,79,93,75,25,5,56,663
Aleem Ford\fordal03,SF,5,6,2,0,15,2,1,0,4,14
Trent Forrest\forretr01,PG,60,76,5,38,99,106,30,6,48,195
Evan Fournier\fournev01,SG,80,402,241,80,210,171,79,20,105,1125
De'Aaron Fox\foxde01,PG,59,516,74,261,231,330,68,25,168,1367
Melvin Frazier\frazime01,SG,3,13,1,5,13,1,1,0,3,32
Tim Frazier\fraziti01,PG,12,14,6,5,19,34,3,1,15,39
Enes Freedom\kanteen01,C,35,51,2,24,160,8,5,14,20,128
Markelle Fultz\fultzma01,PG,18,83,4,25,49,99,20,5,40,195
Wenyen Gabriel\gabriwe01,PF,26,54,8,25,97,14,5,11,16,141
Daniel Gafford\gaffoda01,C,72,285,0,107,407,68,30,99,65,677
Danilo Gallinari\gallida01,PF,66,259,112,141,308,101,28,12,38,771
Langston Galloway\gallola01,SG,7,6,2,0,18,12,1,0,6,14
Darius Garland\garlada01,PG,68,542,174,215,224,583,89,7,248,1473
Marcus Garrett\garrema01,SG,12,5,1,2,23,7,5,3,2,13
